	metric	pseudo_f	p_value	variable	iteration	subset	analysis_type	partial_R2	formula
60	rpca	4.279	0.013	N05B_Anxiolytics	1	full_table	beta_group_significance		
61	uwuf	5.717	0.001	N05B_Anxiolytics	1	full_table	beta_group_significance		
62	wuf	2.571	0.036	N05B_Anxiolytics	1	full_table	beta_group_significance		
63	rpca	6.56	0.003	cobre	1	full_table	beta_group_significance		
64	uwuf	4.832	0.001	cobre	1	full_table	beta_group_significance		
65	wuf	6.653	0.001	cobre	1	full_table	beta_group_significance		
66	rpca	10.088	0.001	Gender	1	unmedicated	beta_group_significance		
67	uwuf	2.391	0.004	Gender	1	unmedicated	beta_group_significance		
68	wuf	2.669	0.029	Gender	1	unmedicated	beta_group_significance		
69	rpca	1.886	0.133	DX_MDD	1	unmedicated	beta_group_significance		
70	uwuf	1.79	0.017	DX_MDD	1	unmedicated	beta_group_significance		
71	wuf	0.823	0.52	DX_MDD	1	unmedicated	beta_group_significance		
72	rpca	1.067	0.346	DX_ANX	1	unmedicated	beta_group_significance		
73	uwuf	1.525	0.044	DX_ANX	1	unmedicated	beta_group_significance		
74	wuf	1.228	0.243	DX_ANX	1	unmedicated	beta_group_significance		
75	rpca	2.12	0.127	cobre	1	unmedicated	beta_group_significance		
76	uwuf	2.239	0.005	cobre	1	unmedicated	beta_group_significance		
77	wuf	2.485	0.031	cobre	1	unmedicated	beta_group_significance		
78	rpca	6.224	0.003	Gender	1	medicated	beta_group_significance		
79	uwuf	1.871	0.015	Gender	1	medicated	beta_group_significance		
80	wuf	1.729	0.134	Gender	1	medicated	beta_group_significance		
81	rpca	0.454	0.669	DX_MDD	1	medicated	beta_group_significance		
82	uwuf	1.269	0.132	DX_MDD	1	medicated	beta_group_significance		
83	wuf	0.444	0.816	DX_MDD	1	medicated	beta_group_significance		
84	rpca	0.781	0.47	DX_ANX	1	medicated	beta_group_significance		
85	uwuf	0.963	0.446	DX_ANX	1	medicated	beta_group_significance		
86	wuf	0.428	0.835	DX_ANX	1	medicated	beta_group_significance		
87	rpca	1.004	0.397	N06A_Antidepressants	1	medicated	beta_group_significance		
88	uwuf	1.259	0.161	N06A_Antidepressants	1	medicated	beta_group_significance		
89	wuf	0.934	0.425	N06A_Antidepressants	1	medicated	beta_group_significance		
90	rpca	0.74	0.516	N05B_Anxiolytics	1	medicated	beta_group_significance		
91	uwuf	1.716	0.029	N05B_Anxiolytics	1	medicated	beta_group_significance		
92	wuf	0.779	0.527	N05B_Anxiolytics	1	medicated	beta_group_significance		
93	rpca	3.245	0.038	cobre	1	medicated	beta_group_significance		
94	uwuf	2.806	0.001	cobre	1	medicated	beta_group_significance		
95	wuf	3.6	0.013	cobre	1	medicated	beta_group_significance		
96	rpca	13.88	0.001	Gender	2	full_table	beta_group_significance		
97	uwuf	3.585	0.001	Gender	2	full_table	beta_group_significance		
98	wuf	3.695	0.01	Gender	2	full_table	beta_group_significance		
99	rpca	3.213	0.036	DX_MDD	2	full_table	beta_group_significance		
100	uwuf	3.231	0.001	DX_MDD	2	full_table	beta_group_significance		
101	wuf	1.29	0.24	DX_MDD	2	full_table	beta_group_significance		
102	rpca	0.699	0.502	DX_ANX	2	full_table	beta_group_significance		
103	uwuf	1.851	0.01	DX_ANX	2	full_table	beta_group_significance		
104	wuf	0.803	0.527	DX_ANX	2	full_table	beta_group_significance		
105	rpca	9.57	0.001	N06A_Antidepressants	2	full_table	beta_group_significance		
106	uwuf	7.335	0.001	N06A_Antidepressants	2	full_table	beta_group_significance		
107	wuf	6.109	0.001	N06A_Antidepressants	2	full_table	beta_group_significance		
108	rpca	3.449	0.034	N05B_Anxiolytics	2	full_table	beta_group_significance		
109	uwuf	5.736	0.001	N05B_Anxiolytics	2	full_table	beta_group_significance		
110	wuf	2.616	0.033	N05B_Anxiolytics	2	full_table	beta_group_significance		
111	rpca	7.123	0.001	cobre	2	full_table	beta_group_significance		
112	uwuf	4.91	0.001	cobre	2	full_table	beta_group_significance		
113	wuf	6.631	0.001	cobre	2	full_table	beta_group_significance		
114	rpca	9.205	0.001	Gender	2	unmedicated	beta_group_significance		
115	uwuf	2.356	0.002	Gender	2	unmedicated	beta_group_significance		
116	wuf	2.684	0.027	Gender	2	unmedicated	beta_group_significance		
117	rpca	2.395	0.084	DX_MDD	2	unmedicated	beta_group_significance		
118	uwuf	1.946	0.008	DX_MDD	2	unmedicated	beta_group_significance		
119	wuf	0.797	0.522	DX_MDD	2	unmedicated	beta_group_significance		
120	rpca	0.947	0.378	DX_ANX	2	unmedicated	beta_group_significance		
121	uwuf	1.451	0.067	DX_ANX	2	unmedicated	beta_group_significance		
122	wuf	1.216	0.257	DX_ANX	2	unmedicated	beta_group_significance		
123	rpca	2.596	0.07	cobre	2	unmedicated	beta_group_significance		
124	uwuf	2.176	0.005	cobre	2	unmedicated	beta_group_significance		
125	wuf	2.494	0.038	cobre	2	unmedicated	beta_group_significance		
126	rpca	5.79	0.002	Gender	2	medicated	beta_group_significance		
127	uwuf	1.792	0.009	Gender	2	medicated	beta_group_significance		
128	wuf	1.691	0.123	Gender	2	medicated	beta_group_significance		
129	rpca	1.005	0.359	DX_MDD	2	medicated	beta_group_significance		
130	uwuf	1.229	0.144	DX_MDD	2	medicated	beta_group_significance		
131	wuf	0.429	0.84	DX_MDD	2	medicated	beta_group_significance		
132	rpca	0.751	0.469	DX_ANX	2	medicated	beta_group_significance		
133	uwuf	0.991	0.395	DX_ANX	2	medicated	beta_group_significance		
134	wuf	0.445	0.826	DX_ANX	2	medicated	beta_group_significance		
135	rpca	1.328	0.253	N06A_Antidepressants	2	medicated	beta_group_significance		
136	uwuf	1.216	0.154	N06A_Antidepressants	2	medicated	beta_group_significance		
137	wuf	0.908	0.451	N06A_Antidepressants	2	medicated	beta_group_significance		
138	rpca	0.451	0.662	N05B_Anxiolytics	2	medicated	beta_group_significance		
139	uwuf	1.713	0.017	N05B_Anxiolytics	2	medicated	beta_group_significance		
140	wuf	0.819	0.486	N05B_Anxiolytics	2	medicated	beta_group_significance		
141	rpca	2.958	0.036	cobre	2	medicated	beta_group_significance		
142	uwuf	3.006	0.001	cobre	2	medicated	beta_group_significance		
143	wuf	3.587	0.016	cobre	2	medicated	beta_group_significance		
144	rpca	13.488	0.001	Gender	3	full_table	beta_group_significance		
145	uwuf	3.376	0.001	Gender	3	full_table	beta_group_significance		
146	wuf	3.687	0.004	Gender	3	full_table	beta_group_significance		
147	rpca	3.052	0.054	DX_MDD	3	full_table	beta_group_significance		
148	uwuf	3.187	0.001	DX_MDD	3	full_table	beta_group_significance		
149	wuf	1.286	0.254	DX_MDD	3	full_table	beta_group_significance		
150	rpca	0.551	0.591	DX_ANX	3	full_table	beta_group_significance		
151	uwuf	1.926	0.014	DX_ANX	3	full_table	beta_group_significance		
152	wuf	0.801	0.487	DX_ANX	3	full_table	beta_group_significance		
153	rpca	9.143	0.001	N06A_Antidepressants	3	full_table	beta_group_significance		
154	uwuf	7.305	0.001	N06A_Antidepressants	3	full_table	beta_group_significance		
155	wuf	6.153	0.002	N06A_Antidepressants	3	full_table	beta_group_significance		
156	rpca	3.945	0.018	N05B_Anxiolytics	3	full_table	beta_group_significance		
157	uwuf	5.849	0.001	N05B_Anxiolytics	3	full_table	beta_group_significance		
158	wuf	2.652	0.037	N05B_Anxiolytics	3	full_table	beta_group_significance		
159	rpca	6.901	0.001	cobre	3	full_table	beta_group_significance		
160	uwuf	4.899	0.001	cobre	3	full_table	beta_group_significance		
161	wuf	6.645	0.001	cobre	3	full_table	beta_group_significance		
162	rpca	8.735	0.001	Gender	3	unmedicated	beta_group_significance		
163	uwuf	2.284	0.004	Gender	3	unmedicated	beta_group_significance		
164	wuf	2.688	0.02	Gender	3	unmedicated	beta_group_significance		
165	rpca	1.801	0.158	DX_MDD	3	unmedicated	beta_group_significance		
166	uwuf	1.926	0.008	DX_MDD	3	unmedicated	beta_group_significance		
167	wuf	0.804	0.506	DX_MDD	3	unmedicated	beta_group_significance		
168	rpca	0.954	0.391	DX_ANX	3	unmedicated	beta_group_significance		
169	uwuf	1.572	0.037	DX_ANX	3	unmedicated	beta_group_significance		
170	wuf	1.214	0.257	DX_ANX	3	unmedicated	beta_group_significance		
171	rpca	2.256	0.099	cobre	3	unmedicated	beta_group_significance		
172	uwuf	2.191	0.003	cobre	3	unmedicated	beta_group_significance		
173	wuf	2.459	0.046	cobre	3	unmedicated	beta_group_significance		
174	rpca	5.799	0.002	Gender	3	medicated	beta_group_significance		
175	uwuf	1.892	0.019	Gender	3	medicated	beta_group_significance		
176	wuf	1.704	0.138	Gender	3	medicated	beta_group_significance		
177	rpca	0.8	0.467	DX_MDD	3	medicated	beta_group_significance		
178	uwuf	1.288	0.118	DX_MDD	3	medicated	beta_group_significance		
179	wuf	0.445	0.817	DX_MDD	3	medicated	beta_group_significance		
180	rpca	0.495	0.649	DX_ANX	3	medicated	beta_group_significance		
181	uwuf	0.95	0.5	DX_ANX	3	medicated	beta_group_significance		
182	wuf	0.434	0.83	DX_ANX	3	medicated	beta_group_significance		
183	rpca	1.271	0.269	N06A_Antidepressants	3	medicated	beta_group_significance		
184	uwuf	1.091	0.302	N06A_Antidepressants	3	medicated	beta_group_significance		
185	wuf	0.929	0.427	N06A_Antidepressants	3	medicated	beta_group_significance		
186	rpca	0.607	0.567	N05B_Anxiolytics	3	medicated	beta_group_significance		
187	uwuf	1.806	0.013	N05B_Anxiolytics	3	medicated	beta_group_significance		
188	wuf	0.811	0.491	N05B_Anxiolytics	3	medicated	beta_group_significance		
189	rpca	3.247	0.029	cobre	3	medicated	beta_group_significance		
190	uwuf	2.981	0.001	cobre	3	medicated	beta_group_significance		
191	wuf	3.65	0.01	cobre	3	medicated	beta_group_significance		
192	rpca	13.571	0.001	Gender	4	full_table	beta_group_significance		
193	uwuf	3.481	0.001	Gender	4	full_table	beta_group_significance		
194	wuf	3.659	0.009	Gender	4	full_table	beta_group_significance		
195	rpca	3.081	0.03	DX_MDD	4	full_table	beta_group_significance		
196	uwuf	3.201	0.001	DX_MDD	4	full_table	beta_group_significance		
197	wuf	1.266	0.25	DX_MDD	4	full_table	beta_group_significance		
198	rpca	0.567	0.596	DX_ANX	4	full_table	beta_group_significance		
199	uwuf	1.711	0.021	DX_ANX	4	full_table	beta_group_significance		
200	wuf	0.804	0.504	DX_ANX	4	full_table	beta_group_significance		
201	rpca	9.178	0.001	N06A_Antidepressants	4	full_table	beta_group_significance		
202	uwuf	7.323	0.001	N06A_Antidepressants	4	full_table	beta_group_significance		
203	wuf	6.146	0.001	N06A_Antidepressants	4	full_table	beta_group_significance		
204	rpca	3.744	0.025	N05B_Anxiolytics	4	full_table	beta_group_significance		
205	uwuf	5.609	0.001	N05B_Anxiolytics	4	full_table	beta_group_significance		
206	wuf	2.638	0.025	N05B_Anxiolytics	4	full_table	beta_group_significance		
207	rpca	6.939	0.001	cobre	4	full_table	beta_group_significance		
208	uwuf	4.775	0.001	cobre	4	full_table	beta_group_significance		
209	wuf	6.675	0.001	cobre	4	full_table	beta_group_significance		
210	rpca	9.624	0.001	Gender	4	unmedicated	beta_group_significance		
211	uwuf	2.306	0.002	Gender	4	unmedicated	beta_group_significance		
212	wuf	2.652	0.037	Gender	4	unmedicated	beta_group_significance		
213	rpca	2.166	0.105	DX_MDD	4	unmedicated	beta_group_significance		
214	uwuf	1.791	0.012	DX_MDD	4	unmedicated	beta_group_significance		
215	wuf	0.775	0.559	DX_MDD	4	unmedicated	beta_group_significance		
216	rpca	1.114	0.332	DX_ANX	4	unmedicated	beta_group_significance		
217	uwuf	1.495	0.053	DX_ANX	4	unmedicated	beta_group_significance		
218	wuf	1.215	0.248	DX_ANX	4	unmedicated	beta_group_significance		
219	rpca	2.192	0.094	cobre	4	unmedicated	beta_group_significance		
220	uwuf	2.131	0.003	cobre	4	unmedicated	beta_group_significance		
221	wuf	2.494	0.03	cobre	4	unmedicated	beta_group_significance		
222	rpca	5.075	0.007	Gender	4	medicated	beta_group_significance		
223	uwuf	1.749	0.016	Gender	4	medicated	beta_group_significance		
224	wuf	1.712	0.14	Gender	4	medicated	beta_group_significance		
225	rpca	0.888	0.429	DX_MDD	4	medicated	beta_group_significance		
226	uwuf	1.36	0.102	DX_MDD	4	medicated	beta_group_significance		
227	wuf	0.445	0.818	DX_MDD	4	medicated	beta_group_significance		
228	rpca	0.484	0.656	DX_ANX	4	medicated	beta_group_significance		
229	uwuf	0.996	0.38	DX_ANX	4	medicated	beta_group_significance		
230	wuf	0.435	0.813	DX_ANX	4	medicated	beta_group_significance		
231	rpca	0.952	0.382	N06A_Antidepressants	4	medicated	beta_group_significance		
232	uwuf	1.158	0.216	N06A_Antidepressants	4	medicated	beta_group_significance		
233	wuf	0.931	0.415	N06A_Antidepressants	4	medicated	beta_group_significance		
234	rpca	0.446	0.683	N05B_Anxiolytics	4	medicated	beta_group_significance		
235	uwuf	1.749	0.022	N05B_Anxiolytics	4	medicated	beta_group_significance		
236	wuf	0.805	0.494	N05B_Anxiolytics	4	medicated	beta_group_significance		
237	rpca	3.614	0.024	cobre	4	medicated	beta_group_significance		
238	uwuf	2.917	0.001	cobre	4	medicated	beta_group_significance		
239	wuf	3.62	0.01	cobre	4	medicated	beta_group_significance		
240	rpca	13.318	0.001	Gender	5	full_table	beta_group_significance		
241	uwuf	3.493	0.001	Gender	5	full_table	beta_group_significance		
242	wuf	3.664	0.007	Gender	5	full_table	beta_group_significance		
243	rpca	2.704	0.062	DX_MDD	5	full_table	beta_group_significance		
244	uwuf	3.133	0.001	DX_MDD	5	full_table	beta_group_significance		
245	wuf	1.28	0.235	DX_MDD	5	full_table	beta_group_significance		
246	rpca	0.945	0.381	DX_ANX	5	full_table	beta_group_significance		
247	uwuf	1.782	0.026	DX_ANX	5	full_table	beta_group_significance		
248	wuf	0.814	0.524	DX_ANX	5	full_table	beta_group_significance		
249	rpca	9.04	0.001	N06A_Antidepressants	5	full_table	beta_group_significance		
250	uwuf	7.384	0.001	N06A_Antidepressants	5	full_table	beta_group_significance		
251	wuf	6.15	0.001	N06A_Antidepressants	5	full_table	beta_group_significance		
252	rpca	3.556	0.022	N05B_Anxiolytics	5	full_table	beta_group_significance		
253	uwuf	5.737	0.001	N05B_Anxiolytics	5	full_table	beta_group_significance		
254	wuf	2.642	0.03	N05B_Anxiolytics	5	full_table	beta_group_significance		
255	rpca	6.173	0.005	cobre	5	full_table	beta_group_significance		
256	uwuf	4.82	0.001	cobre	5	full_table	beta_group_significance		
257	wuf	6.686	0.001	cobre	5	full_table	beta_group_significance		
258	rpca	9.296	0.001	Gender	5	unmedicated	beta_group_significance		
259	uwuf	2.291	0.006	Gender	5	unmedicated	beta_group_significance		
260	wuf	2.695	0.029	Gender	5	unmedicated	beta_group_significance		
261	rpca	1.836	0.15	DX_MDD	5	unmedicated	beta_group_significance		
262	uwuf	1.865	0.015	DX_MDD	5	unmedicated	beta_group_significance		
263	wuf	0.79	0.532	DX_MDD	5	unmedicated	beta_group_significance		
264	rpca	1.188	0.283	DX_ANX	5	unmedicated	beta_group_significance		
265	uwuf	1.432	0.071	DX_ANX	5	unmedicated	beta_group_significance		
266	wuf	1.244	0.267	DX_ANX	5	unmedicated	beta_group_significance		
267	rpca	1.722	0.172	cobre	5	unmedicated	beta_group_significance		
268	uwuf	2.172	0.004	cobre	5	unmedicated	beta_group_significance		
269	wuf	2.512	0.033	cobre	5	unmedicated	beta_group_significance		
270	rpca	4.763	0.012	Gender	5	medicated	beta_group_significance		
271	uwuf	1.905	0.019	Gender	5	medicated	beta_group_significance		
272	wuf	1.696	0.115	Gender	5	medicated	beta_group_significance		
273	rpca	0.948	0.392	DX_MDD	5	medicated	beta_group_significance		
274	uwuf	1.262	0.14	DX_MDD	5	medicated	beta_group_significance		
275	wuf	0.445	0.828	DX_MDD	5	medicated	beta_group_significance		
276	rpca	0.776	0.439	DX_ANX	5	medicated	beta_group_significance		
277	uwuf	0.993	0.401	DX_ANX	5	medicated	beta_group_significance		
278	wuf	0.435	0.816	DX_ANX	5	medicated	beta_group_significance		
279	rpca	1.413	0.253	N06A_Antidepressants	5	medicated	beta_group_significance		
280	uwuf	1.18	0.2	N06A_Antidepressants	5	medicated	beta_group_significance		
281	wuf	0.926	0.43	N06A_Antidepressants	5	medicated	beta_group_significance		
282	rpca	0.64	0.551	N05B_Anxiolytics	5	medicated	beta_group_significance		
283	uwuf	1.674	0.035	N05B_Anxiolytics	5	medicated	beta_group_significance		
284	wuf	0.824	0.487	N05B_Anxiolytics	5	medicated	beta_group_significance		
285	rpca	3.326	0.027	cobre	5	medicated	beta_group_significance		
286	uwuf	2.869	0.002	cobre	5	medicated	beta_group_significance		
287	wuf	3.607	0.01	cobre	5	medicated	beta_group_significance		
288	rpca	13.66	0.001	Gender	6	full_table	beta_group_significance		
289	uwuf	3.779	0.001	Gender	6	full_table	beta_group_significance		
290	wuf	3.692	0.007	Gender	6	full_table	beta_group_significance		
291	rpca	2.603	0.065	DX_MDD	6	full_table	beta_group_significance		
292	uwuf	3.037	0.001	DX_MDD	6	full_table	beta_group_significance		
293	wuf	1.281	0.235	DX_MDD	6	full_table	beta_group_significance		
294	rpca	0.606	0.566	DX_ANX	6	full_table	beta_group_significance		
295	uwuf	1.79	0.019	DX_ANX	6	full_table	beta_group_significance		
296	wuf	0.828	0.497	DX_ANX	6	full_table	beta_group_significance		
297	rpca	9.329	0.001	N06A_Antidepressants	6	full_table	beta_group_significance		
298	uwuf	7.521	0.001	N06A_Antidepressants	6	full_table	beta_group_significance		
299	wuf	6.159	0.003	N06A_Antidepressants	6	full_table	beta_group_significance		
300	rpca	3.401	0.019	N05B_Anxiolytics	6	full_table	beta_group_significance		
301	uwuf	5.683	0.001	N05B_Anxiolytics	6	full_table	beta_group_significance		
302	wuf	2.64	0.039	N05B_Anxiolytics	6	full_table	beta_group_significance		
303	rpca	6.96	0.001	cobre	6	full_table	beta_group_significance		
304	uwuf	4.765	0.001	cobre	6	full_table	beta_group_significance		
305	wuf	6.665	0.001	cobre	6	full_table	beta_group_significance		
306	rpca	10.663	0.001	Gender	6	unmedicated	beta_group_significance		
307	uwuf	2.554	0.001	Gender	6	unmedicated	beta_group_significance		
308	wuf	2.678	0.025	Gender	6	unmedicated	beta_group_significance		
309	rpca	1.715	0.159	DX_MDD	6	unmedicated	beta_group_significance		
310	uwuf	1.768	0.019	DX_MDD	6	unmedicated	beta_group_significance		
311	wuf	0.802	0.508	DX_MDD	6	unmedicated	beta_group_significance		
312	rpca	0.899	0.403	DX_ANX	6	unmedicated	beta_group_significance		
313	uwuf	1.539	0.043	DX_ANX	6	unmedicated	beta_group_significance		
314	wuf	1.247	0.267	DX_ANX	6	unmedicated	beta_group_significance		
315	rpca	2.104	0.114	cobre	6	unmedicated	beta_group_significance		
316	uwuf	2.102	0.003	cobre	6	unmedicated	beta_group_significance		
317	wuf	2.486	0.037	cobre	6	unmedicated	beta_group_significance		
318	rpca	4.426	0.009	Gender	6	medicated	beta_group_significance		
319	uwuf	1.874	0.02	Gender	6	medicated	beta_group_significance		
320	wuf	1.675	0.148	Gender	6	medicated	beta_group_significance		
321	rpca	1.137	0.331	DX_MDD	6	medicated	beta_group_significance		
322	uwuf	1.31	0.111	DX_MDD	6	medicated	beta_group_significance		
323	wuf	0.443	0.832	DX_MDD	6	medicated	beta_group_significance		
324	rpca	0.581	0.614	DX_ANX	6	medicated	beta_group_significance		
325	uwuf	1.006	0.401	DX_ANX	6	medicated	beta_group_significance		
326	wuf	0.446	0.814	DX_ANX	6	medicated	beta_group_significance		
327	rpca	1.277	0.283	N06A_Antidepressants	6	medicated	beta_group_significance		
328	uwuf	1.226	0.154	N06A_Antidepressants	6	medicated	beta_group_significance		
329	wuf	0.933	0.427	N06A_Antidepressants	6	medicated	beta_group_significance		
330	rpca	0.378	0.716	N05B_Anxiolytics	6	medicated	beta_group_significance		
331	uwuf	1.698	0.032	N05B_Anxiolytics	6	medicated	beta_group_significance		
332	wuf	0.811	0.523	N05B_Anxiolytics	6	medicated	beta_group_significance		
333	rpca	3.723	0.021	cobre	6	medicated	beta_group_significance		
334	uwuf	2.917	0.001	cobre	6	medicated	beta_group_significance		
335	wuf	3.625	0.009	cobre	6	medicated	beta_group_significance		
336	rpca	14.613	0.001	Gender	7	full_table	beta_group_significance		
337	uwuf	3.496	0.001	Gender	7	full_table	beta_group_significance		
338	wuf	3.696	0.008	Gender	7	full_table	beta_group_significance		
339	rpca	2.442	0.091	DX_MDD	7	full_table	beta_group_significance		
340	uwuf	3.036	0.001	DX_MDD	7	full_table	beta_group_significance		
341	wuf	1.252	0.253	DX_MDD	7	full_table	beta_group_significance		
342	rpca	0.481	0.67	DX_ANX	7	full_table	beta_group_significance		
343	uwuf	1.806	0.018	DX_ANX	7	full_table	beta_group_significance		
344	wuf	0.813	0.545	DX_ANX	7	full_table	beta_group_significance		
345	rpca	8.859	0.001	N06A_Antidepressants	7	full_table	beta_group_significance		
346	uwuf	7.432	0.001	N06A_Antidepressants	7	full_table	beta_group_significance		
347	wuf	6.18	0.001	N06A_Antidepressants	7	full_table	beta_group_significance		
348	rpca	4.14	0.017	N05B_Anxiolytics	7	full_table	beta_group_significance		
349	uwuf	5.907	0.001	N05B_Anxiolytics	7	full_table	beta_group_significance		
350	wuf	2.616	0.03	N05B_Anxiolytics	7	full_table	beta_group_significance		
351	rpca	6.988	0.001	cobre	7	full_table	beta_group_significance		
352	uwuf	4.926	0.001	cobre	7	full_table	beta_group_significance		
353	wuf	6.674	0.001	cobre	7	full_table	beta_group_significance		
354	rpca	9.526	0.001	Gender	7	unmedicated	beta_group_significance		
355	uwuf	2.335	0.001	Gender	7	unmedicated	beta_group_significance		
356	wuf	2.671	0.025	Gender	7	unmedicated	beta_group_significance		
357	rpca	1.984	0.13	DX_MDD	7	unmedicated	beta_group_significance		
358	uwuf	1.726	0.027	DX_MDD	7	unmedicated	beta_group_significance		
359	wuf	0.763	0.536	DX_MDD	7	unmedicated	beta_group_significance		
360	rpca	1.072	0.359	DX_ANX	7	unmedicated	beta_group_significance		
361	uwuf	1.411	0.078	DX_ANX	7	unmedicated	beta_group_significance		
362	wuf	1.207	0.267	DX_ANX	7	unmedicated	beta_group_significance		
363	rpca	2.109	0.107	cobre	7	unmedicated	beta_group_significance		
364	uwuf	2.176	0.006	cobre	7	unmedicated	beta_group_significance		
365	wuf	2.491	0.043	cobre	7	unmedicated	beta_group_significance		
366	rpca	5.789	0.005	Gender	7	medicated	beta_group_significance		
367	uwuf	1.848	0.023	Gender	7	medicated	beta_group_significance		
368	wuf	1.686	0.126	Gender	7	medicated	beta_group_significance		
369	rpca	0.975	0.365	DX_MDD	7	medicated	beta_group_significance		
370	uwuf	1.347	0.116	DX_MDD	7	medicated	beta_group_significance		
371	wuf	0.44	0.822	DX_MDD	7	medicated	beta_group_significance		
372	rpca	0.532	0.629	DX_ANX	7	medicated	beta_group_significance		
373	uwuf	0.95	0.487	DX_ANX	7	medicated	beta_group_significance		
374	wuf	0.459	0.805	DX_ANX	7	medicated	beta_group_significance		
375	rpca	1.016	0.363	N06A_Antidepressants	7	medicated	beta_group_significance		
376	uwuf	1.336	0.113	N06A_Antidepressants	7	medicated	beta_group_significance		
377	wuf	0.941	0.42	N06A_Antidepressants	7	medicated	beta_group_significance		
